movie_title,actor_1_name,actor_2_name,actor_3_name
Percy Jackson: Sea of Monsters ,Logan Lerman,Leven Rambin,Brandon T. Jackson
Lara Croft Tomb Raider: The Cradle of Life ,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou
Now You See Me 2,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan
The Saint ,Alun Armstrong,Michael Byrne,Velibor Topic
Spy Game ,Brad Pitt,Stephen Dillane,Catherine McCormack
Mission to Mars ,Don Cheadle,Connie Nielsen,Kim Delaney
Rio ,Anne Hathaway,Wanda Sykes,Will.i.am
Bicentennial Man ,Robin Williams,Oliver Platt,John Michael Higgins
Volcano ,Don Cheadle,Anne Heche,Gaby Hoffmann
The Devil's Own ,Harrison Ford,Brad Pitt,Natascha McElhone
K-19: The Widowmaker,Liam Neeson,Christian Camargo,Lex Shrapnel
Fantastic Four ,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker
Conan the Barbarian ,William Smith,Mako,Sandahl Bergman
Cinderella Man ,Paddy Considine,Bruce McGill,Rosemarie DeWitt
The Nutcracker in 3D,Shirley Henderson,Nathan Lane,Richard E. Grant
Seabiscuit ,Jeff Bridges,Michael Angarano,Michael O'Neill
Twister ,Philip Seymour Hoffman,Alan Ruck,Jami Gertz
The Fast and the Furious ,Paul Walker,Vin Diesel,Jordana Brewster
Cast Away ,Tom Hanks,Paul Sanchez,Nick Searcy
Happy Feet ,Robin Williams,Hugh Jackman,Elizabeth Daily
The Bourne Supremacy ,Matt Damon,Joan Allen,Oksana Akinshina
Air Force One ,Harrison Ford,Gary Oldman,Dean Stockwell
Ocean's Eleven ,Brad Pitt,Bernie Mac,Elliott Gould
The Three Musketeers ,Milla Jovovich,Logan Lerman,Orlando Bloom
Hotel Transylvania ,Steve Buscemi,Adam Sandler,Jon Lovitz
Enchanted ,Jeff Bennett,Teala Dunn,Fred Tatasciore
Hannibal             ,Caroline Dhavernas,Scott Thompson,Hettienne Park
Safe House ,Denzel Washington,Ryan Reynolds,Sam Shepard
102 Dalmatians,Ioan Gruffudd,Eric Idle,Jim Carter
Tower Heist ,Matthew Broderick,Gabourey Sidibe,Judd Hirsch
The Holiday ,Kate Winslet,Rufus Sewell,Sarah Parish
Enemy of the State ,Will Smith,Jake Busey,Lisa Bonet
It's Complicated ,Meryl Streep,Hunter Parrish,Zoe Kazan
Ocean's Thirteen ,Al Pacino,Matt Damon,Brad Pitt
Open Season ,Jon Favreau,Debra Messing,Jane Krakowski
Divergent ,Kate Winslet,Theo James,Mekhi Phifer
Enemy at the Gates ,Bob Hoskins,Gabriel Thomson,Clemens Schick
The Rundown ,Dwayne Johnson,Rosario Dawson,Ewen Bremner
Last Action Hero ,F. Murray Abraham,Tom Noonan,Joan Plowright
Memoirs of a Geisha ,Li Gong,Mako,Karl Yune
The Fast and the Furious: Tokyo Drift ,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin
Arthur Christmas ,Jim Broadbent,Imelda Staunton,Michael Palin
Meet Joe Black ,Anthony Hopkins,Brad Pitt,Jake Weber
Collateral Damage ,Raymond Cruz,Rick Worthy,Jsu Garcia
All That Jazz ,Roy Scheider,Ben Vereen,Max Wright
Mirror Mirror ,Julia Roberts,Nathan Lane,Danny Woodburn
Scott Pilgrim vs. the World ,Anna Kendrick,Kieran Culkin,Ellen Wong
The Core ,Glenn Morshower,Tchéky Karyo,Rekha Sharma
Nutty Professor II: The Klumps ,Larry Miller,Janet Jackson,Chris Elliott
Scooby-Doo ,Sarah Michelle Gellar,Linda Cardellini,Miguel A. Núñez Jr.
Dredd ,Wood Harris,Jason Cope,Rakie Ayola
Click ,Adam Sandler,Cameron Monaghan,Julie Kavner
Creepshow ,Ted Danson,Hal Holbrook,Adrienne Barbeau
Cats & Dogs: The Revenge of Kitty Galore ,Jack McBrayer,Sean Hayes,Katt Williams
Jumper ,Kristen Stewart,Hayden Christensen,Tom Hulce
Hellboy II: The Golden Army ,Seth MacFarlane,Iván Kamarás,Brian Steele
Zodiac ,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards
The 6th Day,Robert Duvall,Michael Rapaport,Tony Goldwyn
Bruce Almighty ,Morgan Freeman,Steve Carell,Lisa Ann Walter
The Expendables ,Jason Statham,Sylvester Stallone,Jet Li
Mission: Impossible ,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave
The Hunger Games ,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds
The Hangover Part II ,Bradley Cooper,Mason Lee,Mike Tyson
Batman Returns ,Michael Gough,Vincent Schiavelli,Andrew Bryniarski
Over the Hedge ,Bruce Willis,Steve Carell,Catherine O'Hara
Lilo & Stitch ,Tia Carrere,Jason Scott Lee,David Ogden Stiers
Charlotte's Web ,Steve Buscemi,Julia Roberts,Oprah Winfrey
Deep Impact ,Morgan Freeman,Jon Favreau,Robert Duvall
RED 2,Bruce Willis,Anthony Hopkins,Garrick Hagon
The Longest Yard ,Adam Sandler,Steve Reevis,Dalip Singh
Alvin and the Chipmunks: Chipwrecked ,Amy Poehler,Jesse McCartney,Lauren Gottlieb
Grown Ups 2,Steve Buscemi,Adam Sandler,Jon Lovitz
Get Smart ,Bill Murray,Dwayne Johnson,Anne Hathaway
Something's Gotta Give ,Keanu Reeves,Jon Favreau,Paul Michael Glaser
Shutter Island ,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto
Four Christmases ,Jon Favreau,Robert Duvall,Katy Mixon
Robots ,Jim Broadbent,Drew Carey,Paula Abdul
Face/Off ,Nicolas Cage,CCH Pounder,Joan Allen
Bedtime Stories ,Adam Sandler,Carmen Electra,Kathryn Joosten
Road to Perdition ,Tom Hanks,Jennifer Jason Leigh,Liam Aiken
Just Go with It ,Adam Sandler,Bailee Madison,Kevin Nealon
Daredevil             ,Elden Henson,Royce Johnson,Charlie Cox
Con Air ,Steve Buscemi,Monica Potter,Dave Chappelle
Eagle Eye ,Rosario Dawson,Ethan Embry,Cameron Boyce
Cold Mountain ,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam
The Book of Eli ,Denzel Washington,Mila Kunis,Gary Oldman
Flubber ,Robin Williams,Jodi Benson,Sam Lloyd
The Haunting ,Liam Neeson,Lili Taylor,Virginia Madsen
Space Jam ,Bill Murray,Wayne Knight,Michael Jordan
The Pink Panther ,Roger Rees,Henry Czerny,William Abadie
The Day the Earth Stood Still ,Keanu Reeves,Jon Hamm,Juan Riedinger
Conspiracy Theory ,Julia Roberts,Alex McArthur,Michael Potts
Fury ,Brad Pitt,Logan Lerman,Jim Parrack
Six Days Seven Nights ,Harrison Ford,Anne Heche,Amy Sedaris
Yogi Bear ,Justin Timberlake,Tom Cavanagh,Josh Robert Thompson
Spirit: Stallion of the Cimarron ,Matt Damon,Charles Napier,Zahn McClarnon
Zookeeper ,Rosario Dawson,Leslie Bibb,Nicholas Turturro
Lost in Space ,Gary Oldman,William Hurt,June Lockhart
The Manchurian Candidate ,Denzel Washington,Dorian Missick,Jose Pablo Cantillo
Déjà Vu ,Vanessa Redgrave,Stephen Dillane,Michael Brandon
Hotel Transylvania 2,Steve Buscemi,Adam Sandler,Fran Drescher
Bewitched             ,Elizabeth Montgomery,Agnes Moorehead,Dick York
Fantasia 2000,Quincy Jones,Penn Jillette,Russi Taylor
The Time Machine ,Mark Addy,Alan Young,Josh Stamberg
Mighty Joe Young ,Charlize Theron,Mika Boorem,David Paymer
Swordfish ,Hugh Jackman,Don Cheadle,Sam Shepard
The Legend of Zorro ,Michael Emerson,Nick Chinlund,Adrian Alonso
What Dreams May Come ,Robin Williams,Annabella Sciorra,Rosalind Chao
Little Nicky ,Adam Sandler,Jon Lovitz,Michael McKean
The Brothers Grimm ,Matt Damon,Heath Ledger,Mackenzie Crook
Mars Attacks! ,Natalie Portman,Martin Short,Lukas Haas
Evolution ,Nissim Renard,Roxane Duran,Julie-Marie Parmentier
The Edge ,Anthony Hopkins,Harold Perrineau,Bart the Bear
Surrogates ,Bruce Willis,Devin Ratray,Boris Kodjoe
Thirteen Days ,Bruce Greenwood,Jon Foster,Bruce Thomas
Daylight ,Sylvester Stallone,Viggo Mortensen,Amy Brenneman
Walking with Dinosaurs 3D,Charlie Rowe,Tiya Sircar,Madison Rothschild
Battlefield Earth ,Richard Tyson,Michael Byrne,John Topor
Looney Tunes: Back in Action ,Brendan Fraser,Jenna Elfman,Heather Locklear
Nine ,Fergie,Elio Germano,Andrea Di Stefano
Timeline ,Paul Walker,Gerard Butler,Ethan Embry
The Postman ,Olivia Williams,Brian Anthony Wilson,Larenz Tate
Babe: Pig in the City ,Adam Goldberg,Elizabeth Daily,Glenne Headly
The Last Witch Hunter ,Vin Diesel,Joseph Gilgun,Lotte Verbeek
Red Planet ,Bob Neill,Val Kilmer,Tom Sizemore
Arthur and the Invisibles ,Mia Farrow,Adam LeFevre,Penny Balfour
Oceans ,Pedro Armendáriz Jr.,Jacques Perrin,Rie Miyazawa
A Sound of Thunder ,David Oyelowo,Catherine McCormack,Jemima Rooper
Pompeii ,Sasha Roiz,Currie Graham,Dylan Schombing
Top Cat Begins ,Sariann Monaco,David Hoffman,Ben Diskin
A Beautiful Mind ,Adam Goldberg,Austin Pendleton,Judd Hirsch
The Lion King ,Matthew Broderick,Nathan Lane,Niketa Calame
Journey 2: The Mysterious Island,Josh Hutcherson,Dwayne Johnson,Kristin Davis
Cloudy with a Chance of Meatballs 2,Will Forte,Khamani Griffin,Melissa Sturm
Red Dragon ,Philip Seymour Hoffman,Anthony Hopkins,Emily Watson
Hidalgo ,J.K. Simmons,Viggo Mortensen,Peter Mensah
Jack and Jill ,Al Pacino,Adam Sandler,Tim Meadows
2 Fast 2 Furious,Paul Walker,Cole Hauser,Mo Gallini
The Little Prince ,Jeff Bridges,James Franco,Mackenzie Foy
The Invasion ,Roger Rees,Veronica Cartwright,Jeremy Northam
The Adventures of Rocky & Bullwinkle ,Robert De Niro,Janeane Garofalo,Jonathan Winters
The Secret Life of Pets ,Steve Coogan,Eric Stonestreet,Albert Brooks
The League of Extraordinary Gentlemen ,Jason Flemyng,Max Ryan,Tony Curran
Despicable Me 2,Steve Carell,Miranda Cosgrove,Steve Coogan
Independence Day ,Will Smith,Adam Baldwin,Mary McDonnell
The Lost World: Jurassic Park ,Ariana Richards,Richard Schiff,Vanessa Lee Chester
Madagascar ,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter
Children of Men ,Charlie Hunnam,Danny Huston,Rita Davies
X-Men ,Hugh Jackman,Tyler Mane,Bruce Davison
Wanted ,Angelina Jolie Pitt,Morgan Freeman,Common
The Rock ,Nicolas Cage,Michael Biehn,Bokeem Woodbine
Ice Age: The Meltdown ,Denis Leary,Ray Romano,Jay Leno
50 First Dates,Adam Sandler,Peter Dante,Allen Covert
Hairspray ,Jerry Stiller,Elijah Kelley,Paul Dooley
Exorcist: The Beginning ,James D'Arcy,Alan Ford,Izabella Scorupco
Inspector Gadget ,Matthew Broderick,Rene Auberjonois,Rupert Everett
Now You See Me ,Morgan Freeman,Common,Michael Kelly
Grown Ups ,Steve Buscemi,Adam Sandler,Salma Hayek
The Terminal ,Tom Hanks,Chi McBride,Barry Shabaka Henley
Constantine             ,Harold Perrineau,Matt Ryan,Charles Halford
Hotel for Dogs ,Don Cheadle,Kevin Dillon,Yvette Nicole Brown
Vertical Limit ,Nicholas Lea,Scott Glenn,Ben Mendelsohn
Charlie Wilson's War ,Philip Seymour Hoffman,Tom Hanks,Jud Tylor
Shark Tale ,Robert De Niro,Martin Scorsese,Angelina Jolie Pitt
Dreamgirls ,Loretta Devine,Jennifer Hudson,Anika Noni Rose
Life             ,Adam Arkin,Brent Sexton,Damian Lewis
Be Cool ,Dwayne Johnson,Christina Milian,Debi Mazar
Munich ,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric
Tears of the Sun ,Bruce Willis,Tom Skerritt,Cole Hauser
Killers ,Tom Selleck,Lisa Ann Walter,Catherine O'Hara
The Man from U.N.C.L.E. ,Henry Cavill,Elizabeth Debicki,Christian Berkel
Spanglish ,Adam Sandler,Paz Vega,Sarah Steele
Monster House ,Steve Buscemi,Jon Heder,Catherine O'Hara
Bandits ,Bruce Willis,Brían F. O'Byrne,Azura Skye
First Knight ,Julia Ormond,Ben Cross,John Gielgud
Anna and the King ,Bai Ling,Geoffrey Palmer,Randall Duk Kim
Immortals ,Henry Cavill,Daniel Sharman,Steve Byers
Hostage ,Jimmy Bennett,Bruce Willis,Ransford Doherty
Titan A.E. ,Matt Damon,Janeane Garofalo,Nathan Lane
Hollywood Homicide ,Harrison Ford,Bruce Greenwood,Lena Olin
Soldier ,Connie Nielsen,Sean Pertwee,Jason Scott Lee
Carriers ,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci
Monkeybone ,Brendan Fraser,Bridget Fonda,Megan Mullally
Flight of the Phoenix ,Dennis Quaid,Tony Curran,Miranda Otto
Unbreakable ,Robin Wright,Bruce Willis,Michael Kelly
Minions ,Steve Carell,Jon Hamm,Steve Coogan
Sucker Punch ,Jon Hamm,Abbie Cornish,Scott Glenn
Snake Eyes ,Nicolas Cage,Mike Starr,John Heard
Sphere ,Peter Coyote,James Pickens Jr.,Huey Lewis
The Angry Birds Movie ,Peter Dinklage,Josh Gad,Keegan-Michael Key
Fool's Gold ,Matthew McConaughey,Ray Winstone,Alexis Dziena
Funny People ,Adam Sandler,RZA,Maude Apatow
The Kingdom ,Jennifer Garner,Frances Fisher,Tim McGraw
Talladega Nights: The Ballad of Ricky Bobby ,Will Ferrell,Leslie Bibb,Gary Cole
Dr. Dolittle 2,Raven-Symoné,Jeffrey Jones,Kevin Pollak
Braveheart ,Mhairi Calvey,Patrick McGoohan,James Robinson
Jarhead ,Jake Gyllenhaal,Brian Geraghty,James Morrison
The Simpsons Movie ,Albert Brooks,Yeardley Smith,Marcia Wallace
The Majestic ,Martin Landau,Hal Holbrook,Jeffrey DeMunn
Driven ,Sylvester Stallone,Estella Warren,Cristián de la Fuente
Two Brothers ,David Gant,Jean-Claude Dreyfus,Oanh Nguyen
The Village ,Bryce Dallas Howard,Judy Greer,William Hurt
Doctor Dolittle ,Oliver Platt,Raven-Symoné,Peter Boyle
Signs ,Rory Culkin,Merritt Wever,Cherry Jones
Shrek 2,Rupert Everett,Jennifer Saunders,Conrad Vernon
Cars ,John Ratzenberger,Cheech Marin,George Carlin
Runaway Bride ,Julia Roberts,Christopher Meloni,Hector Elizondo
xXx ,Vin Diesel,Eve,Leila Arcieri
The SpongeBob Movie: Sponge Out of Water ,Tim Conway,Billy West,Eddie Deezen
Ransom ,Lili Taylor,Delroy Lindo,Rene Russo
Inglourious Basterds ,Michael Fassbender,Brad Pitt,Christoph Waltz
Hook ,Robin Williams,Julia Roberts,Bob Hoskins
Hercules ,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal
Die Hard 2,Bruce Willis,John Amos,Franco Nero
S.W.A.T. ,Jeremy Renner,Josh Charles,LL Cool J
Sleepy Hollow             ,Nicole Beharie,Katia Winter,Lyndie Greenwood
Vanilla Sky ,Tom Cruise,Ivana Milicevic,Noah Taylor
Lady in the Water ,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban
AVP: Alien vs. Predator ,Sanaa Lathan,Colin Salmon,Raoul Bova
Alvin and the Chipmunks: The Squeakquel ,Amy Poehler,Bridgit Mendler,Jesse McCartney
We Were Soldiers ,Jon Hamm,Marc Blucas,Chris Klein
Olympus Has Fallen ,Gerard Butler,Morgan Freeman,Radha Mitchell
Star Trek: Insurrection ,LeVar Burton,Jonathan Frakes,Michael Dorn
Battle Los Angeles ,Noel Fisher,Jim Parrack,Ramon Rodriguez
Big Fish ,Steve Buscemi,Alison Lohman,Albert Finney
Wolf ,David Hyde Pierce,Peter Gerety,Ron Rifkin
War Horse ,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan
The Monuments Men ,Bill Murray,Matt Damon,Bob Balaban
The Abyss ,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio
Wall Street: Money Never Sleeps ,Frank Langella,Austin Pendleton,John Buffalo Mailer
Dracula Untold ,Dominic Cooper,Sarah Gadon,Zach McGowan
The Siege ,Denzel Washington,Bruce Willis,Mark Valley
Stardust ,Henry Cavill,David Kelly,Nathaniel Parker
Seven Years in Tibet ,Brad Pitt,Mako,Victor Wong
The Dilemma ,Channing Tatum,Clint Howard,Chelcie Ross
Bad Company ,Anthony Hopkins,Brooke Smith,Garcelle Beauvais
Doom ,Dwayne Johnson,Ben Daniels,Dexter Fletcher
I Spy ,Gary Cole,Phill Lewis,Tate Taylor
Underworld: Awakening ,Theo James,Stephen Rea,Sandrine Holt
Rock of Ages ,James Martin Kelly,Shane Hartline,Celina Beach
Hart's War ,Bruce Willis,Cole Hauser,Rory Cochrane
Killer Elite ,Jason Statham,Robert De Niro,Ben Mendelsohn
Rollerball ,LL Cool J,Chris Klein,Andrew Bryniarski
Ballistic: Ecks vs. Sever ,Talisa Soto,Sandrine Holt,Gregg Henry
Hard Rain ,Morgan Freeman,Minnie Driver,Randy Quaid
Osmosis Jones ,Ron Howard,Brandy Norwood,David Hyde Pierce
Legends of Oz: Dorothy's Return ,Lea Michele,Oliver Platt,Jim Belushi
Blackhat ,Chris Hemsworth,Archie Kao,Brandon Molale
Sky Captain and the World of Tomorrow ,Angelina Jolie Pitt,Laurence Olivier,Bai Ling
Basic Instinct 2,Charlotte Rampling,Indira Varma,Neil Maskell
Escape Plan ,Sylvester Stallone,50 Cent,Matt Gerald
The Legend of Hercules ,Roxanne McKee,Luke Newberry,Gaia Weiss
The Sum of All Fears ,Morgan Freeman,Bruce McGill,Philip Baker Hall
The Twilight Saga: Eclipse ,Robert Pattinson,Kristen Stewart,Anna Kendrick
The Score ,Robert De Niro,Marlon Brando,Gary Farmer
Despicable Me ,Steve Carell,Miranda Cosgrove,Jack McBrayer
Money Train ,Vincent Pastore,Robert Blake,Aida Turturro
Ted 2,Liam Neeson,Morgan Freeman,Seth MacFarlane
Agora ,Max Minghella,Ashraf Barhom,Rupert Evans
Mystery Men ,Janeane Garofalo,Wes Studi,Eddie Izzard
Hall Pass ,Jenna Fischer,Larry Joe Campbell,Stephen Merchant
The Insider ,Al Pacino,Rip Torn,Debi Mazar
The Finest Hours ,Michael Raymond-James,Abraham Benrubi,Graham McTavish
Body of Lies ,Leonardo DiCaprio,Simon McBurney,Michael Gaston
Dinner for Schmucks ,Steve Carell,Stephanie Szostak,Bruce Greenwood
Abraham Lincoln: Vampire Hunter ,Rufus Sewell,Dominic Cooper,Benjamin Walker
Entrapment ,Will Patton,Kevin McNally,Maury Chaykin
Last Man Standing             ,Hector Elizondo,Kaitlyn Dever,Nancy Travis
The X Files ,Martin Landau,Mitch Pileggi,Jeffrey DeMunn
The Last Legion ,Colin Firth,Nonso Anozie,Owen Teale
Saving Private Ryan ,Tom Hanks,Vin Diesel,Matt Damon
Need for Speed ,Rami Malek,Dominic Cooper,Ramon Rodriguez
What Women Want ,Judy Greer,Lisa Edelstein,Loretta Devine
Ice Age ,Goran Visnjic,Stephen Root,Denis Leary
Dreamcatcher ,Morgan Freeman,Michael O'Neill,Reece Thompson
Lincoln ,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill
The Matrix ,Keanu Reeves,Marcus Chong,Gloria Foster
Apollo 13,Tom Hanks,Miko Hughes,Kathleen Quinlan
Total Recall ,Ronny Cox,Rachel Ticotin,Marshall Bell
The Santa Clause 2,Judge Reinhold,Aisha Tyler,Eric Lloyd
Les Misérables ,Hugh Jackman,Eddie Redmayne,Anne Hathaway
You've Got Mail ,Tom Hanks,Jean Stapleton,Dave Chappelle
Step Brothers ,Will Ferrell,Adam Scott,Andrea Savage
The Mask of Zorro ,Anthony Hopkins,Tony Amendola,Stuart Wilson
Due Date ,Robert Downey Jr.,RZA,Matt Walsh
Unbroken ,Finn Wittrock,Jack O'Connell,Alex Russell
Space Cowboys ,Clint Eastwood,Courtney B. Vance,William Devane
Cliffhanger ,Sylvester Stallone,Leon,Janine Turner
Broken Arrow ,Delroy Lindo,Samantha Mathis,Bob Gunton
The Kid ,Bruce Willis,Lily Tomlin,Daniel von Bargen
World Trade Center ,Nicolas Cage,Jay Hernandez,Armando Riesco
Mona Lisa Smile ,Julia Roberts,Kirsten Dunst,Marian Seldes
The Dictator ,Sayed Badreya,Aasif Mandvi,Horatio Sanz
Eyes Wide Shut ,Tom Cruise,Vinessa Shaw,Sydney Pollack
Annie ,Quvenzhané Wallis,Dorian Missick,David Zayas
Focus ,Will Smith,Adrian Martinez,Gerald McRaney
This Means War ,Tom Hardy,Abigail Spencer,Warren Christie
Blade: Trinity ,Ryan Reynolds,Natasha Lyonne,John Michael Higgins
Red Dawn ,Lea Thompson,Jennifer Grey,William Smith
Primary Colors ,Maura Tierney,Adrian Lester,Paul Guilfoyle
Resident Evil: Retribution ,Milla Jovovich,Boris Kodjoe,Bingbing Li
Death Race ,Jason Statham,Max Ryan,Joan Allen
The Long Kiss Goodnight ,Melina Kanakaredes,Craig Bierko,Yvonne Zima
Proof of Life ,Pamela Reed,Alun Armstrong,Michael Kitchen
Zathura: A Space Adventure ,Kristen Stewart,Josh Hutcherson,Jonah Bobo
Fight Club ,Brad Pitt,Meat Loaf,Eugenie Bondurant
We Are Marshall ,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty
The Missing             ,Jason Flemyng,James Nesbitt,Frances O'Connor
Hudson Hawk ,Bruce Willis,James Coburn,Richard E. Grant
Lucky Numbers ,Michael Rapaport,Michael Moore,Richard Schiff
"I, Frankenstein ",Caitlin Stasey,Kevin Grevioux,Miranda Otto
Oliver Twist ,Ian McNeice,Barney Clark,Tony Noble
Elektra ,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic
Sin City: A Dame to Kill For ,Joseph Gordon-Levitt,Bruce Willis,Eva Green
Random Hearts ,Harrison Ford,Kristin Scott Thomas,Bill Cobbs
Everest ,Michael Kelly,Martin Henderson,Tom Goodman-Hill
Perfume: The Story of a Murderer ,Michael Smiley,David Calder,Simon Chandler
Austin Powers in Goldmember ,Verne Troyer,Josh Zuckerman,Robert Wagner
Astro Boy ,Nicolas Cage,Charlize Theron,Dee Bradley Baker
Jurassic Park ,Wayne Knight,Ariana Richards,Bob Peck
Wyatt Earp ,Dennis Quaid,Catherine O'Hara,Isabella Rossellini
Clear and Present Danger ,Harrison Ford,Dean Jones,Raymond Cruz
Dragon Blade ,Si Won Choi,Peng Lin,Sung-jun Yoo
Littleman ,Chazz Palminteri,Brittany Daniel,John Witherspoon
U-571,Matthew McConaughey,Thomas Kretschmann,David Keith
The American President ,Shawna Waldron,Samantha Mathis,Wendie Malick
The Love Guru ,Justin Timberlake,Romany Malco,Verne Troyer
3000 Miles to Graceland,Jon Lovitz,Bokeem Woodbine,Ice-T
The Hateful Eight ,Craig Stark,Jennifer Jason Leigh,Zoë Bell
Blades of Glory ,Will Ferrell,Amy Poehler,Jon Heder
Hop ,Gary Cole,Elizabeth Perkins,Chelsea Handler
300,Gerard Butler,Michael Fassbender,Vincent Regan
Meet the Fockers ,Robert De Niro,Blythe Danner,Teri Polo
Marley & Me ,Eric Dane,Kathleen Turner,Haley Bennett
The Green Mile ,Tom Hanks,Jeffrey DeMunn,Michael Jeter
Wild Hogs ,Jill Hennessy,Tichina Arnold,Drew Sidora
Chicken Little ,Catherine O'Hara,Fred Willard,Amy Sedaris
Gone Girl ,Patrick Fugit,Sela Ward,Emily Ratajkowski
The Bourne Identity ,Matt Damon,Josh Hamilton,Nicky Naudé
GoldenEye ,Izabella Scorupco,Joe Don Baker,Tchéky Karyo
The General's Daughter ,Daniel von Bargen,Timothy Hutton,Clarence Williams III
The Truman Show ,Natascha McElhone,Noah Emmerich,Peter Krause
The Prince of Egypt ,Martin Short,Aria Noelle Curzon,Eden Riegel
Daddy Day Care ,Anjelica Huston,Lisa Edelstein,Jeff Garlin
2 Guns,Denzel Washington,Patrick Fischler,Fred Ward
Cats & Dogs ,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes
The Italian Job ,Jason Statham,Charlize Theron,Jimmy Shubert
Two Weeks Notice ,Dorian Missick,Alicia Witt,Dana Ivey
Antz ,Sylvester Stallone,Woody Allen,Anne Bancroft
Couples Retreat ,Jon Favreau,Kristin Davis,Tasha Smith
Days of Thunder ,Tom Cruise,Robert Duvall,Randy Quaid
Cheaper by the Dozen 2,Taylor Lautner,Tom Welling,Alyson Stoner
The Scorch Trials ,Ki Hong Lee,Lili Taylor,Rosa Salazar
Eat Pray Love ,James Franco,Julia Roberts,Billy Crudup
The Family Man ,Nicolas Cage,Don Cheadle,Amber Valletta
RED ,Bruce Willis,Morgan Freeman,Jaqueline Fleming
Any Given Sunday ,Al Pacino,Dennis Quaid,LL Cool J
The Horse Whisperer ,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig
Collateral ,Tom Cruise,Jada Pinkett Smith,Debi Mazar
The Scorpion King ,Dwayne Johnson,Roger Rees,Bernard Hill
Ladder 49,Billy Burke,Jay Hernandez,Jacinda Barrett
Jack Reacher ,Tom Cruise,Robert Duvall,David Oyelowo
Deep Blue Sea ,LL Cool J,Michael Rapaport,Saffron Burrows
This Is It ,Misha Gabriel Hamilton,Mekia Cox,Judith Hill
Contagion ,Matt Damon,Monique Gabriela Curnen,Griffin Kane
Kangaroo Jack ,Estella Warren,Dyan Cannon,Bill Hunter
Coraline ,Jennifer Saunders,Dawn French,John Hodgman
The Happening ,Zooey Deschanel,Alan Ruck,Kristen Connolly
Man on Fire ,Denzel Washington,Radha Mitchell,Giancarlo Giannini
The Shaggy Dog ,Robert Downey Jr.,Joel David Moore,Kristin Davis
Starsky & Hutch ,Snoop Dogg,Carmen Electra,Fred Williamson
Jingle All the Way ,Jim Belushi,Harvey Korman,Jake Lloyd
Hellboy ,James Babson,Rupert Evans,Brian Steele
A Civil Action ,Robert Duvall,Kathleen Quinlan,Sydney Pollack
ParaNorman ,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch
The Jackal ,J.K. Simmons,Bruce Willis,Sophie Okonedo
Paycheck ,Ivana Milicevic,Joe Morton,Callum Rennie
Up Close & Personal ,Joe Mantegna,Stockard Channing,Raymond Cruz
The Tale of Despereaux ,Emma Watson,Matthew Broderick,Frank Langella
Rules of Engagement             ,Bianca Kajlich,Oliver Hudson,Adhir Kalyan
The Tuxedo ,Romany Malco,Debi Mazar,Ritchie Coster
Under Siege 2: Dark Territory,Peter Greene,Brenda Bakke,Patrick Kilpatrick
Jack Ryan: Shadow Recruit ,Colm Feore,Nonso Anozie,Gemma Chan
Joy ,Jennifer Lawrence,Robert De Niro,Bradley Cooper
London Has Fallen ,Gerard Butler,Radha Mitchell,Julian Kostov
Alien: Resurrection ,Gary Dourdan,Michael Wincott,Raymond Cruz
Shooter ,Tate Donovan,Ned Beatty,Louis Ferreira
The Boxtrolls ,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan
Practical Magic ,Goran Visnjic,Dianne Wiest,Stockard Channing
The Lego Movie ,Morgan Freeman,Will Ferrell,Alison Brie
Miss Congeniality 2: Armed and Fabulous,Eileen Brennan,Diedrich Bader,Treat Williams
Reign of Fire ,Christian Bale,Gerard Butler,Matthew McConaughey
Gangster Squad ,Ryan Gosling,Brandon Molale,Wade Williams
Year One ,Olivia Wilde,Oliver Platt,Xander Berkeley
Invictus ,Matt Damon,Morgan Freeman,Leleti Khumalo
State of Play ,Robin Wright,Harry Lennix,Michael Weston
Duplicity ,Julia Roberts,Tom Wilkinson,Denis O'Hare
My Favorite Martian ,Steven Anthony Lawrence,Ray Walston,Michael Lerner
The Sentinel ,Blair Brown,David Rasche,Martin Donovan
